Loan number,int_rate,loan_amnt,term (months),installment,dti,delinq_2yrs,annual_inc,grade,emp_title,emp_length,home_ownership,verification_status,issue_d
284,0.1323,2400,60,55,13.96,2,27600,C,,3 years,MORTGAGE,Source Verified,09/01/2010
285,0.1398,3700,60,86,18.68,0,25700,C,,8 years,RENT,Source Verified,08/01/2010
286,0.0932,10000,36,319,20.07,0,48000,A,,2 years,MORTGAGE,Source Verified,02/01/2009
287,0.1218,15000,36,500,20.69,0,62000,B,,1 year,OWN,Not Verified,11/01/2009
288,0.1349,25000,60,575,10.9,0,50000,C,,n/a,MORTGAGE,Not Verified,09/01/2011
289,0.1349,20000,60,460,24.74,0,39000,C,,10+ years,OWN,Verified,10/01/2011
290,0.1825,22250,60,568,18.19,0,54150,D,,10+ years,MORTGAGE,Verified,10/01/2011
291,0.1398,7200,36,246,19.15,1,70000,C,,3 years,RENT,Not Verified,09/01/2010
292,0.1417,31050,36,"1,064",20.53,0,95000,C,,7 years,RENT,Not Verified,02/01/2011
293,0.1568,11000,36,385,14.97,0,70000,E,,10+ years,RENT,Not Verified,04/01/2009
294,0.0714,10000,36,309,10.97,0,38400,A,,5 years,MORTGAGE,Not Verified,05/01/2010
295,0.1343,15000,60,345,13.73,0,62500,C,,8 years,RENT,Not Verified,04/01/2011
296,0.1991,16000,60,423,10.71,0,70000,E,,1 year,RENT,Source Verified,12/01/2011
297,0.1677,6000,36,213,9.15,0,32124,D,,n/a,RENT,Not Verified,09/01/2011
298,0.0749,7350,36,229,19.82,0,44995,A,,2 years,RENT,Source Verified,05/01/2011
299,0.1222,2400,36,80,22.36,0,41600,C,,< 1 year,RENT,Not Verified,08/01/2008
300,0.1349,8000,36,271,14.92,0,61700,C,,2 years,RENT,Not Verified,10/01/2011
301,0.0774,1800,36,56,1.46,0,27204,A,,10+ years,MORTGAGE,Not Verified,09/01/2009
302,0.1148,4200,36,138,18.06,1,48500,B,,< 1 year,RENT,Not Verified,09/01/2009
303,0.0849,2000,36,63,12.56,0,38423,A,,6 years,MORTGAGE,Not Verified,06/01/2011
304,0.1629,9000,36,318,12.74,0,45600,D,,5 years,RENT,Source Verified,09/01/2011
305,0.1171,9600,36,318,11,2,62100,B,,2 years,MORTGAGE,Verified,11/01/2011
306,0.1879,35000,60,904,24.06,1,85000,E,,2 years,RENT,Verified,06/01/2011
307,0.0999,8300,36,268,9.46,0,26000,B,,4 years,RENT,Not Verified,12/01/2010
308,0.0729,10000,36,310,5.66,0,50000,A,,n/a,RENT,Not Verified,04/01/2011
309,0.1,6000,36,194,20.21,0,62004,B,,5 years,MORTGAGE,Not Verified,04/01/2011
310,0.1435,3500,36,120,18,0,70000,C,,3 years,MORTGAGE,Source Verified,08/01/2010
311,0.1355,7500,36,255,24.22,1,70000,D,,< 1 year,RENT,Not Verified,07/01/2008
312,0.0749,7200,36,224,16.65,0,62000,A,,3 years,OWN,Not Verified,08/01/2011
313,0.1929,26375,60,688,22.84,0,66000,E,,2 years,MORTGAGE,Verified,08/01/2011
314,0.1411,10000,36,342,6.86,0,67000,D,,7 years,RENT,Verified,03/01/2009
315,0.1558,12000,36,419,20.67,1,57600,D,,9 years,MORTGAGE,Source Verified,09/01/2010
316,0.1523,3800,60,91,6.7,0,12000,C,,n/a,RENT,Verified,05/01/2011
317,0.0617,6000,36,183,5.44,0,56000,A,,1 year,MORTGAGE,Not Verified,10/01/2010
318,0.1253,15000,36,502,0.13,0,80000,B,,6 years,MORTGAGE,Not Verified,10/01/2009
319,0.1189,15000,36,497,7.34,0,88268,B,,10+ years,MORTGAGE,Verified,01/01/2009
320,0.1348,21250,36,721,17.68,0,44449.6,C,,2 years,MORTGAGE,Not Verified,02/01/2010
321,0.1189,3000,36,99,12.06,1,60000,B,,2 years,RENT,Source Verified,05/01/2009
322,0.0699,6475,36,200,9.89,0,92000,A,,4 years,RENT,Source Verified,09/01/2011
323,0.1065,6000,36,195,11.75,0,24000,B,,10+ years,RENT,Source Verified,12/01/2011
324,0.1099,10000,36,327,13.98,0,95000,B,,4 years,RENT,Verified,04/01/2010
325,0.1682,5000,36,178,23.97,0,54828,E,,10+ years,MORTGAGE,Not Verified,10/01/2010
326,0.0603,1000,36,30,25.17,0,40000,A,,2 years,RENT,Not Verified,09/01/2011
327,0.1695,5000,36,178,21.7,1,50000,E,,3 years,RENT,Not Verified,07/01/2009
328,0.0654,20000,60,392,24.55,0,72586.56,A,,6 years,MORTGAGE,Verified,11/01/2010
329,0.0749,24000,36,746,26.43,0,72000,A,,10+ years,MORTGAGE,Verified,08/01/2011
330,0.1284,5400,36,182,23.07,0,35000,C,,5 years,RENT,Not Verified,05/01/2009
331,0.0988,5000,36,161,16.18,0,66000,B,,7 years,MORTGAGE,Not Verified,05/01/2010
332,0.079,9000,36,282,22.47,0,75500,A,,8 years,MORTGAGE,Verified,11/01/2011
333,0.0849,10000,36,316,10.58,1,72000,A,,10+ years,MORTGAGE,Verified,07/01/2011
334,0.1099,6600,36,216,16.41,0,70000,B,,< 1 year,RENT,Not Verified,03/01/2010
335,0.1298,12000,36,404,13.33,1,90000,C,,4 years,MORTGAGE,Verified,01/01/2011
336,0.0699,3000,36,93,13.55,0,62000,A,,1 year,RENT,Not Verified,06/01/2011
337,0.0603,3500,36,107,10.66,0,70000,A,,10+ years,MORTGAGE,Source Verified,12/01/2011
338,0.2077,25000,60,673,12.82,0,89004,G,,10+ years,MORTGAGE,Verified,11/01/2010
339,0.0691,7275,36,224,7.6,0,95000,A,,10+ years,MORTGAGE,Source Verified,11/01/2010
340,0.1929,30000,60,783,13.39,0,82000,E,,8 years,MORTGAGE,Verified,09/01/2011
341,0.0743,6000,36,186,6.11,0,68686,A,,10+ years,MORTGAGE,Not Verified,11/01/2007
342,0.1099,14000,36,458,12.62,0,77700,B,,2 years,RENT,Source Verified,07/01/2011
343,0.0774,5000,36,156,15.6,0,15000,A,,< 1 year,OWN,Verified,08/01/2009
344,0.1562,3500,36,122,15.35,0,62400,D,,2 years,RENT,Not Verified,09/01/2011
345,0.1186,7500,36,249,12.59,0,57000,B,,5 years,MORTGAGE,Verified,06/01/2010
346,0.0749,8000,36,249,8,1,94700,A,,8 years,MORTGAGE,Not Verified,07/01/2011
347,0.1409,10000,36,342,13.06,1,50000,D,,1 year,RENT,Source Verified,10/01/2010
348,0.1306,2400,36,81,9.04,0,30000,C,,6 years,MORTGAGE,Source Verified,04/01/2011
349,0.0991,10000,36,322,17.51,0,34000,B,,10+ years,RENT,Source Verified,12/01/2011
350,0.1788,18000,60,456,13.94,0,50000,E,,5 years,RENT,Verified,01/01/2011
351,0.1099,5000,36,164,8.34,0,34800,B,,1 year,RENT,Verified,08/01/2011
352,0.0751,10000,36,311,15.92,0,60000,A,,4 years,MORTGAGE,Not Verified,02/01/2010
353,0.08,7000,36,219,15.81,0,35000,A,,< 1 year,OTHER,Not Verified,04/01/2008
354,0.1799,7350,60,187,23.7,0,36000,E,,< 1 year,MORTGAGE,Source Verified,07/01/2011
355,0.1222,9000,36,300,19,1,138000,C,,3 years,MORTGAGE,Not Verified,08/01/2008
356,0.0888,15000,36,476,20.69,0,96000,B,,2 years,RENT,Source Verified,12/01/2010
357,0.0976,7500,36,241,10.56,0,20000,B,,< 1 year,RENT,Not Verified,04/01/2008
358,0.1474,10000,36,345,9.34,1,125004,D,,10+ years,OTHER,Verified,05/01/2009
359,0.0654,9000,36,276,7.97,0,71352,A,,3 years,MORTGAGE,Not Verified,01/01/2011
360,0.2025,16000,60,426,17.69,1,62400,F,,6 years,RENT,Not Verified,05/01/2011
361,0.1472,6000,36,207,17.27,0,21812,C,,7 years,RENT,Verified,09/01/2010
362,0.1223,3000,36,100,5.72,0,56000.04,C,,3 years,RENT,Source Verified,10/01/2010
363,0.1099,19200,36,628,19.23,0,77000,B,,10+ years,RENT,Verified,04/01/2010
364,0.1629,1600,36,56,17.58,0,26000,D,,1 year,RENT,Source Verified,11/01/2011
365,0.0662,11000,36,338,19.49,0,53000,A,,1 year,RENT,Not Verified,10/01/2011
366,0.1839,10000,60,256,13.2,0,69000,E,,10+ years,MORTGAGE,Source Verified,05/01/2011
367,0.0749,4000,36,124,4.6,0,24000,A,,10+ years,MORTGAGE,Not Verified,08/01/2011
368,0.0542,6000,36,181,2.47,0,114000,A,,10+ years,MORTGAGE,Not Verified,06/01/2011
369,0.1059,4200,36,137,0.42,0,51600,B,,10+ years,MORTGAGE,Not Verified,07/01/2011
370,0.1197,3000,36,100,14.8,0,78000,C,,10+ years,RENT,Not Verified,02/01/2008
371,0.1347,8700,36,295,20.43,0,70236,C,,10+ years,MORTGAGE,Not Verified,03/01/2009
372,0.1426,1500,36,51,15.97,0,96000,C,,< 1 year,MORTGAGE,Not Verified,01/01/2010
373,0.1059,7925,36,258,15.52,2,110000,B,,2 years,MORTGAGE,Not Verified,07/01/2011
374,0.0991,14950,36,482,19.78,0,75000,B,,10+ years,MORTGAGE,Not Verified,11/01/2011
375,0.1523,6000,36,209,14.88,0,31200,C,,10+ years,RENT,Not Verified,08/01/2011
376,0.1059,7500,36,244,12.1,2,39975,C,,< 1 year,RENT,Not Verified,12/01/2007
377,0.1936,35000,60,915,8.71,0,110000,F,,10+ years,MORTGAGE,Verified,04/01/2011
378,0.0788,6000,36,188,4.59,0,113217.4,A,,2 years,MORTGAGE,Verified,07/01/2010
379,0.1059,5000,36,163,22.72,0,72000,B,,6 years,RENT,Verified,09/01/2011
380,0.0699,7000,36,216,23.73,0,52800,A,,n/a,OWN,Not Verified,06/01/2011
381,0.0999,2400,36,77,1.54,0,100000,B,,< 1 year,RENT,Source Verified,08/01/2011
382,0.1347,24000,36,814,7.25,0,100000,C,,< 1 year,MORTGAGE,Verified,04/01/2009
383,0.1299,15000,60,341,13.86,1,42500,C,,7 years,RENT,Not Verified,06/01/2011
384,0.0691,20500,36,632,21.58,0,54500,A,,6 years,MORTGAGE,Verified,12/01/2010
385,0.1111,3850,36,126,9.54,0,77000,B,,2 years,MORTGAGE,Verified,02/01/2011
386,0.1099,3300,36,108,11.25,0,45000,B,,1 year,MORTGAGE,Not Verified,03/01/2010
387,0.157,25000,36,875,17.02,0,273000,D,,10+ years,MORTGAGE,Verified,03/01/2010
388,0.1199,16800,36,558,22.7,0,65500,B,,3 years,MORTGAGE,Not Verified,05/01/2011
389,0.1969,20000,36,740,20.4,0,160000,E,,10+ years,MORTGAGE,Verified,07/01/2011
390,0.1171,6700,60,148,4.86,0,40000,B,,2 years,RENT,Source Verified,10/01/2011
391,0.1632,12000,60,294,15.4,0,48000,E,,10+ years,MORTGAGE,Not Verified,11/01/2010
392,0.0991,14275,36,460,10.58,0,78000,B,,1 year,RENT,Not Verified,10/01/2011
393,0.0542,6000,36,181,16.22,0,70000,A,,n/a,OWN,Source Verified,06/01/2011
394,0.2167,18650,60,512,14.19,0,90000,F,,10+ years,RENT,Source Verified,11/01/2011
395,0.0714,6000,36,186,16.33,0,50400,A,,n/a,MORTGAGE,Verified,09/01/2010
396,0.1505,15000,36,520,11.38,0,80000,D,,4 years,MORTGAGE,Verified,02/01/2009
397,0.1343,5500,60,126,22.48,0,38000,C,,4 years,MORTGAGE,Not Verified,02/01/2011
398,0.1991,2600,60,69,16.69,0,74400,E,,9 years,RENT,Source Verified,10/01/2011
399,0.1903,5000,36,183,22.61,0,102240,E,,10+ years,RENT,Source Verified,11/01/2011
400,0.0991,15000,36,483,24.41,0,58000,B,,2 years,MORTGAGE,Verified,10/01/2011
401,0.1037,14125,36,458,23.55,0,34800,B,,10+ years,RENT,Not Verified,04/01/2011
402,0.0749,14500,36,451,0,0,76500,A,,10+ years,MORTGAGE,Not Verified,08/01/2011
403,0.1269,12000,60,271,24.57,0,42000,B,,2 years,RENT,Verified,12/01/2011
404,0.1347,2500,36,85,13.76,0,101000,C,,10+ years,MORTGAGE,Not Verified,06/01/2009
405,0.1136,2550,36,84,18.42,1,66000,B,,9 years,RENT,Not Verified,01/01/2010
406,0.0774,5000,36,156,4.51,0,50000,A,,3 years,MORTGAGE,Not Verified,10/01/2009
407,0.1171,10000,60,221,10.83,0,43992,B,,10+ years,MORTGAGE,Not Verified,10/01/2011
408,0.1398,7000,36,239,22.8,2,51888,C,,10+ years,MORTGAGE,Not Verified,07/01/2010
409,0.079,22000,36,688,14.68,0,140000,A,,8 years,MORTGAGE,Verified,10/01/2011
410,0.1136,20000,36,658,12.96,0,45000,B,,4 years,RENT,Verified,05/01/2010
411,0.1474,2500,36,86,19.08,0,17676,D,,1 year,OWN,Not Verified,03/01/2009
412,0.1287,5000,36,168,18.23,0,36000,C,,< 1 year,RENT,Not Verified,12/01/2009
413,0.0788,15000,36,469,11.09,0,78000,A,,10+ years,MORTGAGE,Verified,08/01/2010
414,0.1148,6000,36,198,18.24,0,40000,B,,< 1 year,OWN,Not Verified,10/01/2009
415,0.0699,11000,36,340,19.48,0,68000,A,,9 years,MORTGAGE,Source Verified,08/01/2011
416,0.1111,16000,60,349,12.54,0,74000,B,,8 years,MORTGAGE,Not Verified,03/01/2011
417,0.0999,21500,36,694,17.21,0,70000,B,,5 years,RENT,Not Verified,07/01/2011
418,0.0768,3500,36,109,18.46,0,63000,A,,10+ years,MORTGAGE,Not Verified,05/01/2009
419,0.1171,10625,36,351,23.2,0,30000,B,,< 1 year,RENT,Source Verified,12/01/2011
420,0.1525,25000,36,870,6.82,0,150000,E,,< 1 year,MORTGAGE,Verified,12/01/2008
421,0.1864,14000,60,360,6.97,0,110000,E,,7 years,MORTGAGE,Source Verified,10/01/2011
422,0.0699,3000,36,93,4.2,0,24000,A,,1 year,RENT,Source Verified,08/01/2011
423,0.1218,6000,36,200,14.43,0,45000,B,,10+ years,RENT,Not Verified,08/01/2009
424,0.0894,16000,36,508,23.1,0,120000,A,,10+ years,MORTGAGE,Verified,09/01/2009
425,0.1099,6400,36,209,18.09,0,80000,B,,1 year,RENT,Source Verified,07/01/2011
426,0.0788,15250,36,477,22.38,0,52000,A,,3 years,MORTGAGE,Verified,04/01/2010
427,0.1051,8000,36,260,11.19,0,33996,B,,1 year,RENT,Verified,11/01/2008
428,0.1186,25000,60,554,5.21,0,139000,B,,7 years,MORTGAGE,Verified,09/01/2010
429,0.1223,12000,36,400,9.93,0,54000,C,,5 years,MORTGAGE,Not Verified,11/01/2010
430,0.0542,9000,36,271,16.77,0,71000,A,,10+ years,MORTGAGE,Not Verified,06/01/2011
431,0.1059,9175,60,198,10.03,0,50000,B,,n/a,OWN,Source Verified,07/01/2011
432,0.0676,6000,36,185,11.49,0,70000,A,,10+ years,MORTGAGE,Not Verified,03/01/2010
433,0.1218,3500,36,117,13.53,1,137000,B,,3 years,MORTGAGE,Verified,01/01/2010
434,0.0751,5000,36,156,15.96,0,27360,A,,5 years,RENT,Source Verified,07/01/2010
435,0.1111,15000,36,492,20.45,1,50000,B,,5 years,RENT,Verified,04/01/2011
436,0.1074,7000,36,228,6.92,0,48000,B,,4 years,OWN,Source Verified,04/01/2011
437,0.0662,6000,36,184,3.31,0,54000,A,,n/a,OWN,Not Verified,09/01/2011
438,0.1426,8000,36,274,11.61,0,88500,C,,< 1 year,RENT,Not Verified,11/01/2009
439,0.1677,2000,60,49,24.4,2,78000,E,,10+ years,RENT,Source Verified,03/01/2011
440,0.0691,24000,36,740,14.7,0,125000,A,,1 year,MORTGAGE,Verified,11/01/2010
441,0.164,20000,60,491,13.19,0,42500,E,,7 years,MORTGAGE,Source Verified,02/01/2011
442,0.1398,25000,60,581,13.7,0,200000,C,,6 years,MORTGAGE,Verified,08/01/2010
443,0.1521,5000,36,174,8.33,2,55000,D,,10+ years,MORTGAGE,Verified,08/01/2010
444,0.0962,12000,36,385,17.26,0,65061,B,,10+ years,MORTGAGE,Verified,10/01/2010
445,0.1171,12000,36,397,2.13,0,80000,B,,2 years,RENT,Source Verified,11/01/2011
446,0.0894,9500,36,302,6.27,0,85500,A,,3 years,MORTGAGE,Verified,08/01/2009
447,0.1379,11000,36,375,14.8,1,69996,C,,1 year,RENT,Not Verified,03/01/2009
448,0.0692,8500,36,262,18.75,0,75000,A,,5 years,RENT,Verified,01/01/2011
449,0.1472,4750,36,164,21.4,0,24000,C,,4 years,OWN,Not Verified,09/01/2010
450,0.183,22000,60,562,16.99,0,92256,F,,10+ years,MORTGAGE,Verified,10/01/2010
451,0.1825,14400,36,522,7.82,0,51871,D,,5 years,RENT,Verified,12/01/2011
452,0.079,6000,36,188,5.54,0,34000,A,,10+ years,RENT,Not Verified,12/01/2011
453,0.0962,2400,36,77,4.83,0,42000,B,,3 years,RENT,Not Verified,10/01/2010
454,0.0751,1000,36,31,22.61,0,25000,A,,6 years,MORTGAGE,Not Verified,04/01/2010
455,0.1099,4800,36,157,20.97,0,95000,B,,5 years,MORTGAGE,Verified,09/01/2011
456,0.1496,5000,36,173,24.4,1,30000,D,,2 years,RENT,Not Verified,12/01/2009
457,0.1059,8000,36,260,3.89,0,50000,B,,4 years,MORTGAGE,Not Verified,07/01/2011
458,0.1595,9000,60,219,11.41,0,80000,D,,5 years,RENT,Source Verified,06/01/2010
459,0.1062,12000,36,391,12.93,0,150000,B,,9 years,MORTGAGE,Not Verified,03/01/2010
460,0.152,6000,60,143,24.41,0,90000,D,,4 years,RENT,Verified,11/01/2010
461,0.1171,10625,36,351,15.12,0,25000,B,,< 1 year,RENT,Verified,12/01/2011
462,0.1074,10000,36,326,12.91,0,135000,B,,4 years,MORTGAGE,Not Verified,01/01/2011
463,0.1562,4400,36,154,19.44,0,30000,D,,10+ years,RENT,Verified,08/01/2011
464,0.0751,11000,36,342,8.87,0,39500,A,,10+ years,RENT,Not Verified,02/01/2010
465,0.1171,25000,60,552,13.77,0,150000,B,,< 1 year,RENT,Verified,10/01/2011
466,0.0676,3800,36,117,12.77,0,55000,A,,1 year,RENT,Verified,08/01/2010
467,0.1677,4400,36,156,20.01,0,55000,D,,10+ years,RENT,Not Verified,12/01/2011
468,0.0859,10000,36,316,14.35,0,52000,A,,2 years,MORTGAGE,Not Verified,09/01/2009
469,0.1171,2000,36,66,16.56,1,34500,B,,10+ years,OWN,Not Verified,10/01/2011
470,0.0925,20000,36,638,4.93,1,192000,B,,8 years,MORTGAGE,Verified,12/01/2010
471,0.0932,7200,36,230,15.56,0,40000,A,,1 year,MORTGAGE,Verified,06/01/2009
472,0.1537,5000,36,174,22.92,1,37440,D,,< 1 year,OWN,Source Verified,03/01/2009
473,0.1114,11000,36,361,10.39,0,46992,B,,1 year,RENT,Not Verified,09/01/2009
474,0.1929,20000,60,522,12.46,2,72396,F,,8 years,RENT,Not Verified,11/01/2010
475,0.1099,12000,36,393,20.22,0,61000,B,,10+ years,MORTGAGE,Verified,06/01/2011
476,0.1427,16000,36,549,18.62,0,60000,C,,5 years,OWN,Not Verified,11/01/2011
477,0.1099,5400,36,177,13.04,0,81000,B,,10+ years,MORTGAGE,Not Verified,07/01/2011
478,0.1112,15000,60,327,13.66,0,91100,B,,10+ years,MORTGAGE,Not Verified,06/01/2010
479,0.1727,35000,60,875,22.75,0,97000,D,,4 years,RENT,Verified,11/01/2011
480,0.1349,15600,36,529,18.53,0,75000,C,,3 years,MORTGAGE,Verified,11/01/2011
481,0.0749,17000,36,529,6.62,0,60000,A,,10+ years,MORTGAGE,Not Verified,08/01/2011
482,0.0925,8400,60,175,22.47,0,58000,B,,3 years,MORTGAGE,Not Verified,11/01/2010
483,0.1979,15000,60,396,16.27,0,108000,E,,2 years,MORTGAGE,Verified,06/01/2011
484,0.1037,15000,36,487,19.72,0,55000,B,,3 years,MORTGAGE,Not Verified,03/01/2011
485,0.164,16000,60,392,9.69,0,70000,E,,1 year,MORTGAGE,Source Verified,02/01/2011
486,0.1298,4000,36,135,12.2,0,80000,C,,5 years,MORTGAGE,Not Verified,12/01/2010
487,0.1103,4500,36,147,24.97,0,37342.5,C,,3 years,RENT,Not Verified,04/01/2008
488,0.1361,24000,60,554,17.72,0,61300,C,,6 years,MORTGAGE,Verified,07/01/2010
489,0.1025,17000,36,551,16.19,0,83000,B,,1 year,MORTGAGE,Not Verified,03/01/2010
490,0.089,24000,36,762,24.85,0,95000,A,,4 years,RENT,Verified,11/01/2011
491,0.1427,4000,36,137,13.17,0,36000,C,,3 years,RENT,Source Verified,10/01/2011
492,0.1929,16200,60,423,12.63,0,53000,E,,10+ years,MORTGAGE,Verified,07/01/2011
493,0.2174,2800,36,107,4.7,0,23000,F,,1 year,RENT,Source Verified,06/01/2011
494,0.0832,7500,36,236,3.74,0,44000,A,,< 1 year,RENT,Not Verified,07/01/2008
495,0.1629,4000,36,141,0.29,3,175000,D,,n/a,RENT,Source Verified,10/01/2011
496,0.1269,12000,60,271,10.44,0,30000,B,,7 years,RENT,Not Verified,12/01/2011
497,0.1059,13500,36,439,10.51,1,33225,B,,10+ years,MORTGAGE,Not Verified,05/01/2011
498,0.1427,25000,60,585,13.13,0,48000,C,,8 years,RENT,Verified,11/01/2011
499,0.1075,3000,36,98,14.08,1,32640,B,,7 years,RENT,Source Verified,09/01/2010
500,0.0932,14400,36,460,4.29,0,82500,A,,3 years,MORTGAGE,Verified,07/01/2009
501,0.1059,10300,36,335,10.03,0,45000,B,,3 years,RENT,Source Verified,06/01/2011
502,0.1037,2525,36,82,5.93,0,12960,B,,2 years,RENT,Source Verified,03/01/2011
503,0.079,16000,36,501,6.59,0,35500,A,,3 years,RENT,Verified,11/01/2011
504,0.0991,1200,36,39,18.64,0,43200,B,,n/a,RENT,Not Verified,09/01/2011
505,0.1122,20000,36,657,14.04,0,38556,C,,10+ years,RENT,Not Verified,12/01/2007
506,0.1399,25000,60,582,22.98,0,72000,C,,10+ years,MORTGAGE,Verified,09/01/2011
507,0.0749,4800,36,149,22.99,0,45000,A,,10+ years,MORTGAGE,Not Verified,07/01/2011
508,0.0599,4800,36,146,4.61,0,46576,A,,8 years,MORTGAGE,Not Verified,05/01/2011
509,0.0542,5000,36,151,23.37,0,40000,A,,< 1 year,OWN,Not Verified,11/01/2010
510,0.1714,6000,60,150,17.07,0,36000,E,,2 years,RENT,Source Verified,03/01/2011
511,0.1649,10000,36,354,14.92,1,28800,D,,2 years,OWN,Source Verified,06/01/2011
512,0.1186,13000,60,288,23.2,0,42000,B,,< 1 year,RENT,Not Verified,07/01/2010
513,0.1298,18000,36,606,11.57,1,250000,C,,2 years,RENT,Source Verified,10/01/2010
514,0.1059,3000,36,98,1.66,0,21000,B,,3 years,RENT,Not Verified,05/01/2011
515,0.1969,35000,60,921,24.44,0,93000,E,,6 years,MORTGAGE,Verified,07/01/2011
516,0.1422,12000,36,411,17.56,0,75000,C,,7 years,RENT,Not Verified,02/01/2010
517,0.1149,1800,36,59,16.64,0,51000,B,,10+ years,MORTGAGE,Not Verified,07/01/2011
518,0.0654,5600,36,172,18.68,0,39960,A,,10+ years,OWN,Not Verified,12/01/2010
519,0.1316,15000,36,507,0.94,0,240000,C,,10+ years,OWN,Verified,06/01/2009
520,0.1427,12600,60,295,4.41,1,74000,C,,1 year,OWN,Source Verified,12/01/2011
521,0.1472,1700,36,59,19.35,0,40000,C,,1 year,RENT,Source Verified,06/01/2010
522,0.1523,12000,60,287,8.39,1,118404,C,,< 1 year,MORTGAGE,Source Verified,08/01/2011
523,0.0963,4375,36,140,17.53,0,16500,B,,6 years,OWN,Not Verified,01/01/2011
524,0.1527,18000,60,431,9.9,0,60000,C,,10+ years,MORTGAGE,Source Verified,11/01/2011
525,0.1523,7000,36,243,21.94,0,42000,C,,5 years,MORTGAGE,Not Verified,06/01/2011
526,0.0729,2500,36,78,14.46,0,15600,A,,n/a,RENT,Verified,04/01/2011
527,0.1864,14000,60,360,23.35,0,63000,E,,< 1 year,MORTGAGE,Verified,11/01/2011
528,0.0751,8400,36,261,20.75,1,72000,A,,10+ years,RENT,Source Verified,12/01/2011
529,0.1136,5000,36,165,12.16,0,67200,B,,4 years,RENT,Not Verified,04/01/2010
530,0.1969,30225,60,796,20.22,0,54000,E,,n/a,MORTGAGE,Verified,08/01/2011
531,0.0766,13600,36,424,19.11,0,83600,A,,2 years,MORTGAGE,Source Verified,02/01/2011
532,0.164,25375,60,622,23.25,0,45000,E,,< 1 year,RENT,Verified,02/01/2011
533,0.1311,4200,36,142,3.44,0,15000,C,,8 years,RENT,Not Verified,03/01/2010
534,0.1533,16000,36,557,15.31,0,64000,D,,5 years,MORTGAGE,Source Verified,04/01/2010
535,0.1242,12000,60,269,14.41,0,90000,B,,10+ years,MORTGAGE,Not Verified,10/01/2011
536,0.1186,15000,36,497,12.2,0,60000,B,,10+ years,MORTGAGE,Source Verified,07/01/2010
537,0.1385,6600,36,225,3.54,0,41000,C,,3 years,RENT,Not Verified,05/01/2010
538,0.1134,6400,36,211,16.98,0,52000,C,,< 1 year,MORTGAGE,Not Verified,04/01/2008
539,0.1527,3600,36,125,1,0,74400,C,,10+ years,RENT,Not Verified,10/01/2011
540,0.1036,8000,36,259,17.12,1,90000,B,,10+ years,MORTGAGE,Not Verified,11/01/2010
541,0.0751,12400,36,386,5.84,0,36800,A,,10+ years,MORTGAGE,Not Verified,11/01/2011
542,0.0691,7700,36,237,21.58,0,54500,A,,< 1 year,MORTGAGE,Not Verified,01/01/2011
543,0.1273,3000,36,101,19.22,0,68000,C,,9 years,MORTGAGE,Not Verified,03/01/2010
544,0.1059,25000,36,814,29.21,0,125000,B,,10+ years,OWN,Source Verified,06/01/2011
545,0.1269,13200,60,298,22.93,0,45000,B,,3 years,RENT,Not Verified,12/01/2011
546,0.1114,10000,36,328,17.18,0,60000,B,,< 1 year,RENT,Not Verified,11/01/2009
547,0.0729,5000,36,155,12.58,0,66000,A,,10+ years,RENT,Not Verified,02/01/2011
548,0.079,35000,36,"1,095",12.76,0,96000,A,,10+ years,MORTGAGE,Verified,12/01/2011
549,0.1025,5000,36,162,17.14,0,39000,B,,3 years,RENT,Verified,04/01/2010
550,0.089,11000,36,349,13.76,0,144000,A,,10+ years,MORTGAGE,Verified,11/01/2011
551,0.1528,7800,60,187,10.94,0,34216,D,,3 years,MORTGAGE,Source Verified,02/01/2011
552,0.1242,8000,36,267,13.32,0,50000,B,,3 years,RENT,Not Verified,11/01/2011
553,0.1316,1500,36,51,10.44,1,30000,C,,7 years,MORTGAGE,Not Verified,04/01/2009
554,0.1349,12000,36,407,16.73,0,79768,C,,2 years,OWN,Source Verified,12/01/2011
555,0.1284,18000,36,605,12.74,0,30144,C,,3 years,MORTGAGE,Not Verified,05/01/2009
556,0.0963,11100,36,356,17.71,0,25000,A,,1 year,OWN,Verified,03/01/2009
557,0.0542,3500,36,106,12.93,0,39336,A,,6 years,RENT,Not Verified,06/01/2011
558,0.1669,10000,60,247,23.4,0,56004,E,,4 years,OWN,Verified,01/01/2011
559,0.0894,14550,36,462,16.15,0,80409,A,,2 years,RENT,Not Verified,12/01/2009
560,0.0542,3000,36,90,10.27,0,68000,A,,1 year,RENT,Verified,06/01/2011
561,0.1038,9500,60,204,13.64,0,60000,B,,10+ years,MORTGAGE,Verified,09/01/2010
562,0.1459,10000,36,345,21.17,0,42000,D,,10+ years,MORTGAGE,Not Verified,04/01/2010
563,0.1269,14000,60,316,14.34,0,66841,B,,10+ years,OWN,Verified,09/01/2011
564,0.1099,2300,36,75,5.4,0,30000,B,,1 year,RENT,Not Verified,07/01/2011
565,0.1479,25000,60,592,19.95,0,69600,C,,10+ years,MORTGAGE,Verified,07/01/2011
566,0.0999,2000,36,65,10.22,0,75000,B,,2 years,RENT,Not Verified,05/01/2011
567,0.1261,16500,36,553,24.64,0,90000,C,,3 years,MORTGAGE,Verified,11/01/2010
568,0.1037,3000,36,97,6.25,0,24000,B,,3 years,RENT,Source Verified,04/01/2011
